solid_SIDIS_hgc_conein_16  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_conein_16  |21.9914926064962*cm -209.235240938766*cm 350.027815385814*cm  |      ordered: zxy -276*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    11.15*cm 22.41*cm 11.15*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_16  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_16  |21.9914926064962*cm -209.235240938766*cm 350.027815385814*cm  |      ordered: zxy -276*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_16 - solid_SIDIS_hgc_conein_16  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                       id manual 2216002 
solid_SIDIS_hgc_coneout_17  | solid_SIDIS_hgc_gas  |    solid_SIDIS_hgc_coneout_17  |65.0133777369853*cm -200.090660734061*cm 350.027815385814*cm  |      ordered: zxy -288*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                  11.65*cm 22.91*cm 11.65*cm 16.5*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_17  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_conein_17  |65.0133777369853*cm -200.090660734061*cm 350.027815385814*cm  |      ordered: zxy -288*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    11.15*cm 22.41*cm 11.15*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_17  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_17  |65.0133777369853*cm -200.090660734061*cm 350.027815385814*cm  |      ordered: zxy -288*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_17 - solid_SIDIS_hgc_conein_17  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                       id manual 2217002 
solid_SIDIS_hgc_coneout_18  | solid_SIDIS_hgc_gas  |    solid_SIDIS_hgc_coneout_18  |105.193866388153*cm -182.201158811015*cm 350.027815385814*cm  |      ordered: zxy -300*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                  11.65*cm 22.91*cm 11.65*cm 16.5*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_18  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_conein_18  |105.193866388153*cm -182.201158811015*cm 350.027815385814*cm  |      ordered: zxy -300*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    11.15*cm 22.41*cm 11.15*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_18  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_18  |105.193866388153*cm -182.201158811015*cm 350.027815385814*cm  |      ordered: zxy -300*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_18 - solid_SIDIS_hgc_conein_18  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                       id manual 2218002 
solid_SIDIS_hgc_coneout_19  | solid_SIDIS_hgc_gas  |    solid_SIDIS_hgc_coneout_19  |140.776878458258*cm -156.348592220442*cm 350.027815385814*cm  |      ordered: zxy -312*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                  11.65*cm 22.91*cm 11.65*cm 16.5*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_19  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_conein_19  |140.776878458258*cm -156.348592220442*cm 350.027815385814*cm  |      ordered: zxy -312*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    11.15*cm 22.41*cm 11.15*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
