solid_DDVCS_muon_forwardangle_pat_0_2_10  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_10  |                         -379.5*mm 0*mm 5637.49*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100210 
solid_DDVCS_muon_forwardangle_pat_0_2_11  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_11  |                         -369.5*mm 0*mm 5637.49*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100211 
solid_DDVCS_muon_forwardangle_pat_0_2_12  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_12  |                         -359.5*mm 0*mm 5637.49*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100212 
solid_DDVCS_muon_forwardangle_pat_0_2_13  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_13  |                         -349.5*mm 0*mm 5637.49*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100213 
solid_DDVCS_muon_forwardangle_pat_0_2_14  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_14  |                         -339.5*mm 0*mm 5637.49*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100214 
solid_DDVCS_muon_forwardangle_pat_0_2_15  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_15  |                         -329.5*mm 0*mm 5637.49*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100215 
solid_DDVCS_muon_forwardangle_pat_0_2_16  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_16  |                         -399.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100216 
solid_DDVCS_muon_forwardangle_pat_0_2_17  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_17  |                         -389.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100217 
solid_DDVCS_muon_forwardangle_pat_0_2_18  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_18  |                         -379.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100218 
solid_DDVCS_muon_forwardangle_pat_0_2_19  |                root  |solid_DDVCS_muon_forwardangle_pat_0_2_19  |                         -369.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100219 
