      solid_mrpc16_1  |          cc_pro_tcd  |16-channel MRPC module 1 mother volume  |                              0*cm 0*cm -128.51*cm  |                       0*deg 0*deg 0*deg  | aaaaaa   |                 Box  |                                    19.2*cm 15.45*cm 1.75*cm  |              G4_AIR  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_gap_2  |      solid_mrpc16_1  |            MRPC16 RPC gas gap  |                             0*cm 0*cm -0.26475*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                 Box  |                                  19.2*cm 14.25*cm 0.0125*cm  |              RPCgas  |                  no  |     1   |     0   |     1   |   1   |   1   |          solid_mrpc  |          solid_mrpc  |sector manual 1 layer manual 2 component manual 1 
solid_mrpc16_1_gap_3  |      solid_mrpc16_1  |            MRPC16 RPC gas gap  |                             0*cm 0*cm -0.33975*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                 Box  |                                  19.2*cm 14.25*cm 0.0125*cm  |              RPCgas  |                  no  |     1   |     0   |     1   |   1   |   1   |          solid_mrpc  |          solid_mrpc  |sector manual 1 layer manual 3 component manual 1 
solid_mrpc16_1_gap_4  |      solid_mrpc16_1  |            MRPC16 RPC gas gap  |                             0*cm 0*cm -0.41475*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                 Box  |                                  19.2*cm 14.25*cm 0.0125*cm  |              RPCgas  |                  no  |     1   |     0   |     1   |   1   |   1   |          solid_mrpc  |          solid_mrpc  |sector manual 1 layer manual 4 component manual 1 
solid_mrpc16_1_gap_5  |      solid_mrpc16_1  |            MRPC16 RPC gas gap  |                             0*cm 0*cm -0.48975*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                 Box  |                                  19.2*cm 14.25*cm 0.0125*cm  |              RPCgas  |                  no  |     1   |     0   |     1   |   1   |   1   |          solid_mrpc  |          solid_mrpc  |sector manual 1 layer manual 5 component manual 1 
solid_mrpc16_1_gap_6  |      solid_mrpc16_1  |            MRPC16 RPC gas gap  |                              0*cm 0*cm 0.18975*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                 Box  |                                  19.2*cm 14.25*cm 0.0125*cm  |              RPCgas  |                  no  |     1   |     0   |     1   |   1   |   1   |          solid_mrpc  |          solid_mrpc  |sector manual 1 layer manual 6 component manual 1 
solid_mrpc16_1_gap_7  |      solid_mrpc16_1  |            MRPC16 RPC gas gap  |                              0*cm 0*cm 0.26475*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                 Box  |                                  19.2*cm 14.25*cm 0.0125*cm  |              RPCgas  |                  no  |     1   |     0   |     1   |   1   |   1   |          solid_mrpc  |          solid_mrpc  |sector manual 1 layer manual 7 component manual 1 
solid_mrpc16_1_gap_8  |      solid_mrpc16_1  |            MRPC16 RPC gas gap  |                              0*cm 0*cm 0.33975*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                 Box  |                                  19.2*cm 14.25*cm 0.0125*cm  |              RPCgas  |                  no  |     1   |     0   |     1   |   1   |   1   |          solid_mrpc  |          solid_mrpc  |sector manual 1 layer manual 8 component manual 1 
solid_mrpc16_1_gap_9  |      solid_mrpc16_1  |            MRPC16 RPC gas gap  |                              0*cm 0*cm 0.41475*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                 Box  |                                  19.2*cm 14.25*cm 0.0125*cm  |              RPCgas  |                  no  |     1   |     0   |     1   |   1   |   1   |          solid_mrpc  |          solid_mrpc  |sector manual 1 layer manual 9 component manual 1 
solid_mrpc16_1_gap_10  |      solid_mrpc16_1  |            MRPC16 RPC gas gap  |                              0*cm 0*cm 0.48975*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                 Box  |                                  19.2*cm 14.25*cm 0.0125*cm  |              RPCgas  |                  no  |     1   |     0   |     1   |   1   |   1   |          solid_mrpc  |          solid_mrpc  |sector manual 1 layer manual 10 component manual 1 
solid_mrpc16_1_glass2_1  |      solid_mrpc16_1  |      MRPC16 outer glass layer  |                              0*cm 0*cm 0.14225*cm  |                       0*deg 0*deg 0*deg  | 6699ff   |                 Box  |                                   19.2*cm 15.45*cm 0.035*cm  |            RPCglass  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_glass2_2  |      solid_mrpc16_1  |      MRPC16 outer glass layer  |                             0*cm 0*cm -0.14225*cm  |                       0*deg 0*deg 0*deg  | 6699ff   |                 Box  |                                   19.2*cm 15.45*cm 0.035*cm  |            RPCglass  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_glass2_3  |      solid_mrpc16_1  |      MRPC16 outer glass layer  |                              0*cm 0*cm 0.53775*cm  |                       0*deg 0*deg 0*deg  | 6699ff   |                 Box  |                                   19.2*cm 15.45*cm 0.035*cm  |            RPCglass  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_mrpc16_1_glass2_4  |      solid_mrpc16_1  |      MRPC16 outer glass layer  |                             0*cm 0*cm -0.53775*cm  |                       0*deg 0*deg 0*deg  | 6699ff   |                 Box  |                                   19.2*cm 15.45*cm 0.035*cm  |            RPCglass  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
