y11_x15	| -33.528	| cm | - |  - | - | - | - | - | - 
y11_x16	| -22.352	| cm | - |  - | - | - | - | - | - 
y11_x17	| -11.176	| cm | - |  - | - | - | - | - | - 
y11_x18	| 0	| cm | - |  - | - | - | - | - | - 
y11_x19	| 11.176	| cm | - |  - | - | - | - | - | - 
y11_x20	| 22.352	| cm | - |  - | - | - | - | - | - 
y11_x21	| 33.528	| cm | - |  - | - | - | - | - | - 
y11_x22	| 44.704	| cm | - |  - | - | - | - | - | - 
y11_x23	| 55.88	| cm | - |  - | - | - | - | - | - 
y11_x24	| 67.056	| cm | - |  - | - | - | - | - | - 
y11_x25	| 78.232	| cm | - |  - | - | - | - | - | - 
y11_x26	| 89.408	| cm | - |  - | - | - | - | - | - 
y11_x27	| 100.584	| cm | - |  - | - | - | - | - | - 
y11_x28	| 111.76	| cm | - |  - | - | - | - | - | - 
y11_x29	| 122.936	| cm | - |  - | - | - | - | - | - 
y11_x30	| 134.112	| cm | - |  - | - | - | - | - | - 
y11_x31	| 145.288	| cm | - |  - | - | - | - | - | - 
y11_x32	| 156.464	| cm | - |  - | - | - | - | - | - 
y11_x33	| 167.64	| cm | - |  - | - | - | - | - | - 
y11_x34	| 178.816	| cm | - |  - | - | - | - | - | - 
y11_x35	| 189.992	| cm | - |  - | - | - | - | - | - 
y11_x36	| 201.168	| cm | - |  - | - | - | - | - | - 
num_y12	| 38	| - | - | - |  - | - | - | - | - 
y12	| -140.341	| cm | - |  - | - | - | - | - | - 
y12_x0	| -206.756	| cm | - |  - | - | - | - | - | - 
y12_x1	| -195.58	| cm | - |  - | - | - | - | - | - 
y12_x2	| -184.404	| cm | - |  - | - | - | - | - | - 
y12_x3	| -173.228	| cm | - |  - | - | - | - | - | - 
y12_x4	| -162.052	| cm | - |  - | - | - | - | - | - 
y12_x5	| -150.876	| cm | - |  - | - | - | - | - | - 
y12_x6	| -139.7	| cm | - |  - | - | - | - | - | - 
y12_x7	| -128.524	| cm | - |  - | - | - | - | - | - 
y12_x8	| -117.348	| cm | - |  - | - | - | - | - | - 
y12_x9	| -106.172	| cm | - |  - | - | - | - | - | - 
y12_x10	| -94.996	| cm | - |  - | - | - | - | - | - 
y12_x11	| -83.82	| cm | - |  - | - | - | - | - | - 
y12_x12	| -72.644	| cm | - |  - | - | - | - | - | - 
y12_x13	| -61.468	| cm | - |  - | - | - | - | - | - 
y12_x14	| -50.292	| cm | - |  - | - | - | - | - | - 
y12_x15	| -39.116	| cm | - |  - | - | - | - | - | - 
y12_x16	| -27.94	| cm | - |  - | - | - | - | - | - 
y12_x17	| -16.764	| cm | - |  - | - | - | - | - | - 
y12_x18	| -5.588	| cm | - |  - | - | - | - | - | - 
y12_x19	| 5.588	| cm | - |  - | - | - | - | - | - 
y12_x20	| 16.764	| cm | - |  - | - | - | - | - | - 
y12_x21	| 27.94	| cm | - |  - | - | - | - | - | - 
y12_x22	| 39.116	| cm | - |  - | - | - | - | - | - 
