idymax	| 54	| - | - | - |  - | - | - | - | - 
x_idy10_idx9_id227_sector20_status1	| -111.76	| cm | - |  - | - | - | - | - | - 
x_idy10_idx10_id228_sector20_status1	| -100.584	| cm | - |  - | - | - | - | - | - 
x_idy10_idx11_id229_sector21_status1	| -89.408	| cm | - |  - | - | - | - | - | - 
x_idy10_idx12_id230_sector21_status1	| -78.232	| cm | - |  - | - | - | - | - | - 
x_idy10_idx13_id231_sector21_status1	| -67.056	| cm | - |  - | - | - | - | - | - 
x_idy10_idx14_id232_sector21_status1	| -55.88	| cm | - |  - | - | - | - | - | - 
x_idy10_idx15_id233_sector22_status1	| -44.704	| cm | - |  - | - | - | - | - | - 
x_idy10_idx16_id234_sector22_status1	| -33.528	| cm | - |  - | - | - | - | - | - 
x_idy10_idx17_id235_sector22_status1	| -22.352	| cm | - |  - | - | - | - | - | - 
x_idy10_idx18_id236_sector23_status1	| -11.176	| cm | - |  - | - | - | - | - | - 
x_idy10_idx19_id237_sector23_status1	| 0	| cm | - |  - | - | - | - | - | - 
x_idy10_idx20_id238_sector23_status1	| 11.176	| cm | - |  - | - | - | - | - | - 
x_idy10_idx21_id239_sector24_status1	| 22.352	| cm | - |  - | - | - | - | - | - 
x_idy10_idx22_id240_sector24_status1	| 33.528	| cm | - |  - | - | - | - | - | - 
x_idy10_idx23_id241_sector24_status1	| 44.704	| cm | - |  - | - | - | - | - | - 
x_idy10_idx24_id242_sector25_status1	| 55.88	| cm | - |  - | - | - | - | - | - 
x_idy10_idx25_id243_sector25_status1	| 67.056	| cm | - |  - | - | - | - | - | - 
x_idy10_idx26_id244_sector25_status1	| 78.232	| cm | - |  - | - | - | - | - | - 
x_idy10_idx27_id245_sector25_status1	| 89.408	| cm | - |  - | - | - | - | - | - 
x_idy10_idx28_id246_sector26_status1	| 100.584	| cm | - |  - | - | - | - | - | - 
x_idy10_idx29_id247_sector26_status1	| 111.76	| cm | - |  - | - | - | - | - | - 
x_idy10_idx30_id248_sector26_status1	| 122.936	| cm | - |  - | - | - | - | - | - 
x_idy10_idx31_id249_sector26_status1	| 134.112	| cm | - |  - | - | - | - | - | - 
